fiscal_year,main_revenue_indicator_en,main_revenue_indicator_kh,sub_revenue_indicator_en,sub_revenue_indicator_kh,budget_law_amount ,implement_amount , deficit_surplus ,comment
2009,Public Investment Financed by Foreign Countries,វិនិយោគសាធារណៈដោយហិរញ្ញប្បទានក្រៅប្រទេស,Capital revenue for projects by foreign financing,ចំណូលមូលធនសម្រាប់គម្រោងដោយហិរញ្ញប្បទានក្រៅប្រទេស,1700000,2752140.3,1052140.3,
2008,Government deposits,បញ្ញើររដ្ឋាភិបាល,Government deposits,បញ្ញើររដ្ឋាភិបាល,65067,0,-65067,"This figure includes the use of government deposits amounting to 65,067  million riels."
2008,Current Revenue,ចំណូលចរន្ត,,,3886917,5213163,1326246,
2008,Capital Revenue,ចំណូលមូលធន,Domestic Capital​ Revenue,ចំណូលមូលធនក្នុងស្រុក,100000,79208,-20792,
2008,Capital Revenue,ចំណូលមូលធន,Revenue from development partner's budgetary support fund,ចំណូលមូលនិធិទ្រទ្រង់ថវិការហិរញ្ញប្បទានដោយដៃគូរអភិវឌ្ឍ,221400,281577,60177,
2008,Public Investment Financed by Foreign Countries,វិនិយោគសាធារណៈដោយហិរញ្ញប្បទានក្រៅប្រទេស,Capital revenue for projects by foreign financing,ចំណូលមូលធនសម្រាប់គម្រោងដោយហិរញ្ញប្បទានក្រៅប្រទេស,1400000,1926193,526193,
2007,Current Revenue,ចំណូលចរន្ត,,,3252173,4012105,759932,
2007,Capital Revenue,ចំណូលមូលធន,Domestic Capital​ Revenue,ចំណូលមូលធនក្នុងស្រុក,30000,9000,-21000,
2007,Capital Revenue,ចំណូលមូលធន,Revenue from development partner's budgetary support fund,ចំណូលមូលនិធិទ្រទ្រង់ថវិការហិរញ្ញប្បទានដោយដៃគូរអភិវឌ្ឍ,230133,180968,-49165,
2007,Public Investment Financed by Foreign Countries,វិនិយោគសាធារណៈដោយហិរញ្ញប្បទានក្រៅប្រទេស,Capital revenue for projects by foreign financing,ចំណូលមូលធនសម្រាប់គម្រោងដោយហិរញ្ញប្បទានក្រៅប្រទេស,1110000,1682289,572289,
2006,Current Revenue,ចំណូលចរន្ត,,,2740720,2881720,141000,
2006,Capital Revenue,ចំណូលមូលធន,Domestic Capital​ Revenue,ចំណូលមូលធនក្នុងស្រុក,72000,377451,305451,
2006,Capital Revenue,ចំណូលមូលធន,Revenue from development partner's budgetary support fund,ចំណូលមូលនិធិទ្រទ្រង់ថវិការហិរញ្ញប្បទានដោយដៃគូរអភិវឌ្ឍ,143605,137839,-5766,
2006,Public Investment Financed by Foreign Countries,វិនិយោគសាធារណៈដោយហិរញ្ញប្បទានក្រៅប្រទេស,Capital revenue for projects by foreign financing,ចំណូលមូលធនសម្រាប់គម្រោងដោយហិរញ្ញប្បទានក្រៅប្រទេស,857800,1331042,473242,
2005,Current Revenue,ចំណូលចរន្ត,,,2282600,2473749,191149,
2005,Capital Revenue,ចំណូលមូលធន,Domestic Capital​ Revenue,ចំណូលមូលធនក្នុងស្រុក,16000,151.57,-15848.43,
2005,Capital Revenue,ចំណូលមូលធន,Revenue from development partner's budgetary support fund,ចំណូលមូលនិធិទ្រទ្រង់ថវិការហិរញ្ញប្បទានដោយដៃគូរអភិវឌ្ឍ,120000,119685,-315,
2005,Public Investment Financed by Foreign Countries,វិនិយោគសាធារណៈដោយហិរញ្ញប្បទានក្រៅប្រទេស,Capital revenue for projects by foreign financing,ចំណូលមូលធនសម្រាប់គម្រោងដោយហិរញ្ញប្បទានក្រៅប្រទេស,750000,1134.56,-748865.44,
